凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,781286062839955507,781286065116807170,つくよみっ！！,485132079517007873,c,スカイワルキューレ,物理 ワンパン
1,781289464059396177,781289466819903498,リース,220132395393875968,d,マスターセンリ,持ち越し300前後
1,781298211414868028,781298213142790146,つくよみっ！！,485132079517007873,a,ワイバーン,-2貫通
1,781305219430481920,781305223246512199,リース,220132395393875968,c,スカイワルキューレ,持ち越し150前後
1,781306157767327765,781306160523378708,厚着プリンセス下着冷凍まざらし,341239349997993984,e,サジタリウス,1400↑ 持ち越し
1,781306741870166036,781306750984912936,たかや@基本フルオート希望,322226212464230400,c,スカイワルキューレ,ワンパン(ギリギリできないこと多い)
1,781315862509780992,781315865189810194,ジャハド,661543389581279242,e,サジタリウス,フル持越1400くらい
1,781321392146350091,781321395753582612,ジャハド,661543389581279242,a,ワイバーン,ワンパン ｰ2貫通
1,781321639953956925,781321643162730537,ジャハド,661543389581279242,d,マスターセンリ,物理1400予定 離席中
1,781323349241757776,781323352630493204,夏みかん,366936884334690304,c,スカイワルキューレ,1000 物理
1,781323695418245151,781323698682462228,夏みかん,366936884334690304,d,マスターセンリ,1200 物理
1,781323970976415805,781323973882413056,夏みかん,366936884334690304,e,サジタリウス,800 魔法
1,781330188809142282,781330191955918848,そうくん,527450451411599403,c,スカイワルキューレ,魔法(水マホ)1300万
1,781330419030687744,781330421564178474,そうくん,527450451411599403,d,マスターセンリ,物理1500万
1,781330671863726091,781330674748489738,そうくん,527450451411599403,a,ワイバーン,2 貫通 物理
1,781331675367866368,781331678265475112,夏みかん,366936884334690304,a,ワイバーン,2貫通 物理
1,781345430826516500,781345435922202635,(*^◯^*)ポジ,215772416541065216,c,スカイワルキューレ,ワンパン ニャル (ルナ次第)
1,781346817090387981,781346820646502470,うさまる,652747597739589632,c,スカイワルキューレ,1200強 魔法
1,781346874225328149,781346876032548947,うさまる,652747597739589632,e,サジタリウス,1400? 魔法
1,781356268836094002,781356271684812851,うさまる,652747597739589632,e,サジタリウス,1200強(端数)
1,781357164576112652,781357177310019638,ユッシー,614440140173213707,c,スカイワルキューレ,ワンパン ニャル
1,781361924864344114,781361930215358534,超絶最強Canon砲,385069644052168715,e,サジタリウス,ニャル 1500
